model,run_time_utc,horizon_h,member_index,subarea,cumulative_mm,source_file
GEPS,2026-07-29T12:00:00+00:00,48,12,lower_incremental_05EA005_to_05EA002,0.19999998807907104,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,12,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,13,basin_to_05EA002,0.0,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,13,lower_incremental_05EA005_to_05EA002,0.0,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,13,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,14,basin_to_05EA002,7.949999809265137,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,14,lower_incremental_05EA005_to_05EA002,7.949999809265137,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,14,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,15,basin_to_05EA002,0.14499999582767487,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,15,lower_incremental_05EA005_to_05EA002,0.14499999582767487,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,15,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,16,basin_to_05EA002,0.47999998927116394,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,16,lower_incremental_05EA005_to_05EA002,0.47999998927116394,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,16,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,17,basin_to_05EA002,0.03999999910593033,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,17,lower_incremental_05EA005_to_05EA002,0.03999999910593033,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,17,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,18,basin_to_05EA002,0.02499999850988388,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,18,lower_incremental_05EA005_to_05EA002,0.02499999850988388,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,18,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,19,basin_to_05EA002,0.5550000071525574,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,19,lower_incremental_05EA005_to_05EA002,0.5550000071525574,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,19,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,20,basin_to_05EA002,4.5,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,20,lower_incremental_05EA005_to_05EA002,4.5,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,20,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,21,basin_to_05EA002,0.14499999582767487,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,21,lower_incremental_05EA005_to_05EA002,0.14499999582767487,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,21,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,72,1,basin_to_05EA002,0.17999999225139618,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P072_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,72,1,lower_incremental_05EA005_to_05EA002,0.17999999225139618,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P072_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,72,1,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P072_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,72,2,basin_to_05EA002,0.9399999976158142,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P072_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,72,2,lower_incremental_05EA005_to_05EA002,0.9399999976158142,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P072_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,72,2,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P072_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,72,3,basin_to_05EA002,1.3899999856948853,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P072_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,72,3,lower_incremental_05EA005_to_05EA002,1.3899999856948853,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P072_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,72,3,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P072_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,72,4,basin_to_05EA002,7.309999942779541,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P072_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,72,4,lower_incremental_05EA005_to_05EA002,7.309999942779541,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P072_allmbrs.grib2
